ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
343	BLX	1/2/1998	28.31	"Banco Latinoamericano de Comercio Exterior, S.A."	NYSE	"Commercial Banks"	"Finance"
344	BMI	1/2/1998	20.27	"Badger Meter, Inc."	NYSE	"Industrial Machinery/Components"	"Capital Goods"
345	BMRC	2/5/2004	2.95	"Bank of Marin Bancorp"	NASDAQ	"Major Banks"	"Finance"
346	BMRN	7/26/1999	55.06	"BioMarin Pharmaceutical Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
347	BMS	1/2/1998	62.62	"Bemis Company, Inc."	NYSE	"Containers/Packaging"	"Consumer Durables"
348	BMTC	2/4/2002	7.38	"Bryn Mawr Bank Corporation"	NASDAQ	"Major Banks"	"Finance"
349	BMY	1/2/1998	86.24	"Bristol-Myers Squibb Company"	NYSE	"Major Pharmaceuticals"	"Health Care"
350	BNCL	7/16/2007	15.45	"Beneficial Bancorp, Inc."	NASDAQ	"Savings Institutions"	"Finance"
351	BNCN	10/13/2006	4.58	"BNC Bancorp"	NASDAQ	"Major Banks"	"Finance"
352	BOBE	1/2/1998	46.63	"Bob Evans Farms, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
353	BODY	10/15/2010	8.83	"Body Central Corp."	NASDAQ	"Apparel Stores"	"Services"
354	BOFI	3/16/2005	14.41	"BofI Holding, Inc."	NASDAQ	"Savings Institutions"	"Finance"
355	BOH	1/2/1998	50.94	"Bank of Hawaii Corporation"	NYSE	"Major Banks"	"Finance"
356	BOKF	1/2/1998	25.04	"BOK Financial Corporation"	NASDAQ	"Major Banks"	"Finance"
357	BONT	1/2/1998	30.56	"The Bon-Ton Stores, Inc."	NASDAQ	"Department/Specialty Retail Stores"	"Consumer Services"
358	BOOM	1/5/1998	28.99	"Dynamic Materials Corporation"	NASDAQ	"Industrial Specialties"	"Capital Goods"
359	BOX	10/29/2010	9.94	"Box, Inc."	NYSE	"Computer Software: Prepackaged Software"	"Technology"
360	BPFH	4/23/1998	45.19	"Boston Private Financial Holdings, Inc."	NASDAQ	"Major Banks"	"Finance"
361	BPI	4/15/2009	19.75	"Bridgepoint Education, Inc."	NYSE	"Other Consumer Services"	"Consumer Services"
362	BPOP	1/2/1998	56.28	"Popular, Inc."	NASDAQ	"Major Banks"	"Finance"
363	BR	4/2/2007	37.8	"Broadridge Financial Solutions, Inc."	NYSE	"Business Services"	"Miscellaneous"
364	BRC	5/18/1999	38.09	"Brady Corporation"	NYSE	"Miscellaneous manufacturing industries"	"Consumer Durables"
365	BRCD	11/22/2005	50.92	"Brocade Communications Systems, Inc."	NASDAQ	"Computer Communications Equipment"	"Technology"
366	BREW	1/2/1998	7.54	"Craft Brew Alliance, Inc."	NASDAQ	"Beverages (Production/Distribution)"	"Consumer Non-Durables"
367	BRK.B	1/2/1998	57.19	"Berkshire Hathaway Inc."	NYSE	""	""
368	BRKL	3/25/1998	41.27	"Brookline Bancorp, Inc."	NASDAQ	"Savings Institutions"	"Finance"
369	BRKR	7/2/2003	43.32	"Bruker Corporation"	NASDAQ	"Biotechnology: Laboratory Analytical Instruments"	"Capital Goods"
