ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
1966	PLCM	1/2/1998	71.15	"Polycom, Inc."	NASDAQ	"Telecommunications Equipment"	"Public Utilities"
1967	PLD	1/2/1998	58.22	"ProLogis, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1968	PLOW	5/5/2010	10.83	"Douglas Dynamics, Inc."	NYSE	"Construction/Ag Equipment/Trucks"	"Capital Goods"
1969	PLPC	11/26/2004	2.47	"Preformed Line Products Company"	NASDAQ	"Water Supply"	"Basic Industries"
1970	PLPM	11/21/2008	5.18	"Planet Payment, Inc."	NASDAQ	"Business Services"	"Miscellaneous"
1971	PLT	1/2/1998	53.17	"Plantronics, Inc."	NYSE	"Telecommunications Equipment"	"Public Utilities"
1972	PLUG	10/29/1999	47.19	"Plug Power, Inc."	NASDAQ	"Industrial Machinery/Components"	"Energy"
1973	PLUS	1/2/1998	9.11	"ePlus inc."	NASDAQ	"Retail: Computer Software & Peripheral Equipment"	"Technology"
1974	PLX	5/15/1998	17.7	"Protalix BioTherapeutics, Inc."	AMEX	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
1975	PLXS	1/2/1998	52.92	"Plexus Corp."	NASDAQ	"Electrical Products"	"Technology"
1976	PM	3/31/2008	37.67	"Philip Morris International Inc"	NYSE	"Farming/Seeds/Milling"	"Consumer Non-Durables"
1977	PMC	8/1/2007	25.91	"Pharmerica Corporation"	NYSE	"Medical/Nursing Services"	"Health Care"
1978	PMT	7/30/2009	22.5	"PennyMac Mortgage Investment Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
1979	PNC	1/2/1998	75.19	"PNC Financial Services Group, Inc. (The)"	NYSE	"Major Banks"	"Finance"
1980	PNFP	5/28/2002	24.25	"Pinnacle Financial Partners, Inc."	NASDAQ	"Major Banks"	"Finance"
1981	PNK	2/28/2000	48.44	"Pinnacle Entertainment, Inc."	NASDAQ	"Hotels/Resorts"	"Consumer Services"
1982	PNM	1/2/1998	56.51	"PNM Resources, Inc. (Holding Co.)"	NYSE	"Electric Utilities: Central"	"Public Utilities"
1983	PNNT	4/19/2007	25.66	"PennantPark Investment Corporation"	NASDAQ	""	""
1984	PNR	1/2/1998	60.66	"Pentair plc."	NYSE	"Industrial Machinery/Components"	"Technology"
1985	PNRA	5/18/1999	59.23	"Panera Bread Company"	NASDAQ	"Restaurants"	"Consumer Services"
1986	PNRG	1/5/1998	0.84	"PrimeEnergy Corporation"	NASDAQ	"Oil & Gas Production"	"Energy"
1987	PNW	1/2/1998	63.95	"Pinnacle West Capital Corporation"	NYSE	"Electric Utilities: Central"	"Public Utilities"
1988	PNY	1/2/1998	48.23	"Piedmont Natural Gas Company, Inc."	NYSE	"Oil/Gas Transmission"	"Public Utilities"
1989	PODD	5/15/2007	28.65	"Insulet Corporation"	NASDAQ	"Medical/Dental Instruments"	"Health Care"
1990	POL	9/13/2000	50.61	"PolyOne Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
1991	POOL	1/2/1998	46.17	"Pool Corporation"	NASDAQ	"Industrial Specialties"	"Consumer Durables"
1992	POR	4/10/2006	38.41	"Portland General Electric Company"	NYSE	"Electric Utilities: Central"	"Public Utilities"
1993	POST	1/27/2012	14.54	"Post Holdings, Inc."	NYSE	"Packaged Foods"	"Consumer Non-Durables"
1994	POWI	12/19/2006	25.67	"Power Integrations, Inc."	NASDAQ	"Semiconductors"	"Technology"
1995	POWL	1/2/1998	15.77	"Powell Industries, Inc."	NASDAQ	"Electrical Products"	"Consumer Durables"
1996	PPBI	8/27/2002	5.02	"Pacific Premier Bancorp Inc"	NASDAQ	"Major Banks"	"Finance"
1997	PPC	12/29/2009	25.87	"Pilgrim's Pride Corporation"	NASDAQ	"Meat/Poultry/Fish"	"Consumer Non-Durables"
1998	PPG	1/2/1998	73.69	"PPG Industries, Inc."	NYSE	"Paints/Coatings"	"Basic Industries"
1999	PPHM	11/7/2000	37.45	"Peregrine Pharmaceuticals Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2000	PPL	1/2/1998	72.2	"PPL Corporation"	NYSE	"Electric Utilities: Central"	"Public Utilities"
2001	PPS	1/2/1998	52.02	"Post Properties, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2002	PQ	11/30/2005	35.94	"Petroquest Energy Inc"	NYSE	"Oil & Gas Production"	"Energy"
2003	PRA	6/28/2001	36.06	"ProAssurance Corporation"	NYSE	"Property-Casualty Insurers"	"Finance"
2004	PRAA	11/8/2002	35.1	"PRA Group, Inc."	NASDAQ	"Finance: Consumer Services"	"Finance"
2005	PRFT	7/29/1999	27.34	"Perficient, Inc."	NASDAQ	"EDP Services"	"Technology"
2006	PRGO	1/2/1998	63.99	"Perrigo Company"	NYSE	"Major Pharmaceuticals"	"Health Care"
2007	PRGS	1/2/1998	46.41	"Progress Software Corporation"	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2008	PRGX	1/2/1998	27.75	"PRGX Global, Inc."	NASDAQ	"Diversified Commercial Services"	"Consumer Services"
2009	PRI	4/1/2010	17.82	"Primerica, Inc."	NYSE	"Life Insurance"	"Finance"
2010	PRIM	8/6/2008	15.81	"Primoris Services Corporation"	NASDAQ	"Water Supply"	"Basic Industries"
2011	PRK	1/2/1998	13.03	"Park National Corporation"	AMEX	"Major Banks"	"Finance"
2012	PRKR	1/2/1998	23.46	"ParkerVision, Inc."	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
2013	PRLB	2/24/2012	12.27	"Proto Labs, Inc."	NYSE	"Metal Fabrications"	"Capital Goods"
2014	PRMW	11/5/2010	7.6	"Primo Water Corporation"	NASDAQ	"Food Distributors"	"Consumer Non-Durables"
2015	PRO	7/26/2007	16.83	"PROS Holdings, Inc."	NYSE	"EDP Services"	"Technology"
2016	PROV	1/2/1998	6.29	"Provident Financial Holdings, Inc."	NASDAQ	"Savings Institutions"	"Finance"
2017	PRSC	8/20/2003	19.96	"The Providence Service Corporation"	NASDAQ	"Transportation Services"	"Consumer Services"
2018	PRTA	12/21/2012	8.89	"Prothena Corporation plc"	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2019	PRTS	2/9/2007	7.32	"U.S. Auto Parts Network, Inc."	NASDAQ	"Other Specialty Stores"	"Consumer Services"
2020	PRU	12/13/2001	63.95	"Prudential Financial, Inc."	NYSE	"Life Insurance"	"Finance"
2021	PRXL	1/2/1998	49.37	"PAREXEL International Corporation"	NASDAQ	"Biotechnology: Commercial Physical & Biological Resarch"	"Health Care"
2022	PSA	1/2/1998	58.94	"Public Storage"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2023	PSB	3/18/1998	25.92	"PS Business Parks, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2024	PSEC	7/27/2004	39.89	"Prospect Capital Corporation"	NASDAQ	""	""
2025	PSIX	4/17/2012	4.59	"Power Solutions International, Inc."	NASDAQ	"Industrial Machinery/Components"	"Energy"
2026	PSMT	1/2/1998	24.46	"PriceSmart, Inc."	NASDAQ	"Department/Specialty Retail Stores"	"Consumer Services"
2027	PSTB	4/24/2007	6.83	"Park Sterling Corporation"	NASDAQ	"Major Banks"	"Finance"
2028	PSX	5/1/2012	18.76	"Phillips 66"	NYSE	"Integrated oil Companies"	"Energy"
2029	PTC	1/2/1998	27.81	"PTC Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2030	PTEN	1/2/1998	77.33	"Patterson-UTI Energy, Inc."	NASDAQ	"Oil & Gas Production"	"Energy"
2031	PTIE	7/14/2000	31.91	"Pain Therapeutics"	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2032	PTLA	5/22/2013	9.54	"Portola Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2033	PTX	3/10/2010	10	"Pernix Therapeutics Holdings, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2034	PVH	1/2/1998	55.28	"PVH Corp."	NYSE	"Apparel"	"Consumer Non-Durables"
2035	PVTB	6/30/1999	40.29	"PrivateBancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
2036	PWOD	3/29/2006	1.8	"Penns Woods Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
2037	PWR	2/12/1998	61.58	"Quanta Services, Inc."	NYSE	"Engineering & Construction"	"Capital Goods"
2038	PX	1/2/1998	74.89	"Praxair, Inc."	NYSE	"Major Chemicals"	"Basic Industries"
2039	PXD	1/2/1998	67.75	"Pioneer Natural Resources Company"	NYSE	"Oil & Gas Production"	"Energy"
2040	PZG	8/1/2007	18.32	"Paramount Gold Nevada Corp."	AMEX	"Precious Metals"	"Basic Industries"
2041	PZN	10/25/2007	9.44	"Pzena Investment Management Inc"	NYSE	"Investment Managers"	"Finance"
2042	PZZA	1/2/1998	47.22	"Papa John'S International, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
2043	Q	5/9/2013	11.9	"Quintiles Transitional Holdings Inc."	NYSE	"Biotechnology: Commercial Physical & Biological Resarch"	"Health Care"
2044	QADA	12/16/2010	3.33	"QAD Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2045	QCCO	7/16/2004	5.05	"QC Holdings, Inc."	NASDAQ	"Savings & Loans"	"Financial"
2046	QCOM	1/2/1998	92.13	"QUALCOMM Incorporated"	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
2047	QDEL	1/2/1998	37.15	"Quidel Corporation"	NASDAQ	"Biotechnology: In Vitro & In Vivo Diagnostic Substances"	"Health Care"
2048	QEP	7/1/2010	26.27	"QEP Resources, Inc."	NYSE	"Oil & Gas Production"	"Energy"
2049	QGEN	2/15/2005	41.15	"Qiagen N.V."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
2050	QLGC	1/2/1998	77.63	"QLogic Corporation"	NASDAQ	"Computer Communications Equipment"	"Technology"
2051	QLIK	7/16/2010	24.62	"Qlik Technologies Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2052	QLYS	9/28/2012	9.62	"Qualys, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2053	QNST	2/11/2010	12.75	"QuinStreet, Inc."	NASDAQ	"Business Services"	"Miscellaneous"
2054	QSII	1/2/1998	43.4	"Quality Systems, Inc."	NASDAQ	"EDP Services"	"Technology"
2055	QTM	11/15/2006	33.57	"Quantum Corporation"	NYSE	"Electronic Components"	"Technology"
2056	QUAD	7/6/2010	13.46	"Quad Graphics, Inc"	NYSE	"Publishing"	"Miscellaneous"
2057	R	1/2/1998	63.21	"Ryder System, Inc."	NYSE	"Rental/Leasing Companies"	"Consumer Services"
2058	RACK	3/2/2012	0.19	"RACKWISE, INC (RACK.OB)"	OTC BB	"Application Software"	"Technology"
2059	RAD	1/2/1998	74.04	"Rite Aid Corporation"	NYSE	"Medical/Nursing Services"	"Health Care"
2060	RAI	8/2/2004	54.03	"Reynolds American Inc"	NYSE	"Farming/Seeds/Milling"	"Consumer Non-Durables"
2061	RAIL	4/6/2005	27.47	"Freightcar America, Inc."	NASDAQ	"Railroads"	"Capital Goods"
2062	RAS	1/28/2002	45.9	"RAIT Financial Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2063	RATE	6/17/2011	16.01	"Bankrate, Inc."	NYSE	"EDP Services"	"Technology"
2064	RAVN	1/2/1998	23.41	"Raven Industries, Inc."	NASDAQ	"Specialty Chemicals"	"Capital Goods"
2065	RAX	8/8/2008	33.56	"Rackspace Hosting, Inc"	NYSE	"Computer Software: Programming, Data Processing"	"Technology"
2066	RBC	1/21/2005	37.04	"Regal Beloit Corporation"	NYSE	"Metal Fabrications"	"Consumer Durables"
2067	RBCAA	7/22/1998	11.79	"Republic Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
2068	RBCN	11/16/2007	22.85	"Rubicon Technology, Inc."	NASDAQ	"Semiconductors"	"Technology"
2069	RCII	1/2/1998	60	"Rent-A-Center Inc."	NASDAQ	"Diversified Commercial Services"	"Technology"
2070	RCL	1/2/1998	68.74	"Royal Caribbean Cruises Ltd."	NYSE	"Marine Transportation"	"Consumer Services"
2071	RDC	1/2/1998	76.51	"Rowan Companies plc"	NYSE	"Oil & Gas Production"	"Energy"
2072	RDEN	1/25/2001	36.18	"Elizabeth Arden, Inc."	NASDAQ	"Package Goods/Cosmetics"	"Consumer Non-Durables"
2073	RDI	3/30/2004	5.28	"Reading International Inc"	NASDAQ	"Movies/Entertainment"	"Consumer Services"
2074	RDN	6/10/1999	66.84	"Radian Group Inc."	NYSE	"Property-Casualty Insurers"	"Finance"
2075	RDNT	2/14/2007	14.56	"RadNet, Inc."	NASDAQ	"Medical Specialities"	"Health Care"
2076	RE	1/2/1998	56.33	"Everest Re Group, Ltd."	NYSE	"Property-Casualty Insurers"	"Finance"
2077	RECN	12/15/2000	41.99	"Resources Connection, Inc."	NASDAQ	"Business Services"	"Miscellaneous"
2078	REG	1/2/1998	50.26	"Regency Centers Corporation"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2079	REGI	1/19/2012	12.04	"Renewable Energy Group, Inc."	NASDAQ	"Major Chemicals"	"Basic Industries"
2080	REGN	1/2/1998	58.57	"Regeneron Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2081	REIS	11/30/2007	2.9	"Reis, Inc"	NASDAQ	"Business Services"	"Miscellaneous"
2082	RELL	1/5/1998	13.7	"Richardson Electronics, Ltd."	NASDAQ	"Electronic Components"	"Consumer Non-Durables"
2083	REN	9/28/2009	19.66	"Resolute Energy Corporation"	NYSE	"Oil & Gas Production"	"Energy"
2084	RES	1/2/1998	47.12	"RPC, Inc."	NYSE	"Oilfield Services/Equipment"	"Energy"
2085	RESI	12/24/2012	11.35	"Altisource Residential Corporation"	NYSE	"Real Estate"	"Finance"
2086	REV	1/2/1998	31.02	"Revlon, Inc."	NYSE	"Package Goods/Cosmetics"	"Consumer Non-Durables"
2087	REX	5/14/1998	10.36	"REX American Resources Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
2088	REXI	1/2/1998	16.49	"Resource America, Inc."	NASDAQ	"Finance/Investors Services"	"Finance"
2089	REXX	7/25/2007	31.72	"Rex Energy Corporation"	NASDAQ	"Oil & Gas Production"	"Energy"
2090	RF	5/10/2002	65.06	"Regions Financial Corporation"	NYSE	"Major Banks"	"Finance"
2091	RFP	12/10/2010	16.24	"Resolute Forest Products Inc."	NYSE	"Paper"	"Basic Industries"
2092	RGA	11/26/2008	26.6	"Reinsurance Group of America, Incorporated"	NYSE	"Life Insurance"	"Finance"
2093	RGC	5/10/2002	53.6	"Regal Entertainment Group"	NYSE	"Movies/Entertainment"	"Consumer Services"
2094	RGEN	1/2/1998	25.5	"Repligen Corporation"	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
2095	RGLD	1/2/1998	55.26	"Royal Gold, Inc."	NASDAQ	"Precious Metals"	"Basic Industries"
2096	RGLS	10/9/2012	8.59	"Regulus Therapeutics Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2097	RGR	1/2/1998	39.65	"Sturm, Ruger & Company, Inc."	NYSE	"Ordnance And Accessories"	"Capital Goods"
2098	RGS	1/2/1998	48.96	"Regis Corporation"	NYSE	"Other Consumer Services"	"Consumer Services"
2099	RH	11/2/2012	13.68	"Restoration Hardware Holdings Inc."	NYSE	"Other Specialty Stores"	"Consumer Services"
2100	RHI	1/2/1998	67.65	"Robert Half International Inc."	NYSE	"Professional Services"	"Technology"
2101	RHP	4/30/2007	33.9	"Ryman Hospitality Properties, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2102	RHT	8/11/1999	69.54	"Red Hat, Inc."	NYSE	"Computer Software: Programming, Data Processing"	"Technology"
2103	RICK	1/2/1998	13.72	"RCI Hospitality Holdings, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
2104	RIG	1/2/1998	84.89	"Transocean Ltd."	NYSE	"Oil & Gas Production"	"Energy"
2105	RIGL	11/29/2000	36.68	"Rigel Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2106	RJF	1/2/1998	58.73	"Raymond James Financial, Inc."	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
2107	RL	1/2/1998	61.76	"Ralph Lauren Corporation"	NYSE	"Apparel"	"Consumer Non-Durables"
2108	RLGY	10/11/2012	15.49	"Realogy Holdings Corp."	NYSE	"Real Estate"	"Finance"
2109	RLH	9/23/2005	8.05	"Red Lion Hotels Corporation"	NYSE	"Hotels/Resorts"	"Consumer Services"
2110	RLI	1/2/1998	31.85	"RLI Corp."	NYSE	"Property-Casualty Insurers"	"Finance"
2111	RLJ	5/11/2011	18.48	"RLJ Lodging Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2112	RLOC	5/20/2010	8.83	"ReachLocal, Inc."	NASDAQ	"Advertising"	"Technology"
2113	RM	3/28/2012	5.71	"Regional Management Corp."	NYSE	"Finance: Consumer Services"	"Finance"
2114	RMBS	1/2/1998	76.04	"Rambus, Inc."	NASDAQ	"Semiconductors"	"Technology"
2115	RMD	9/30/1999	55.22	"ResMed Inc."	NYSE	"Medical/Dental Instruments"	"Health Care"
2116	RMTI	1/27/1998	17.39	"Rockwell Medical, Inc."	NASDAQ	"Biotechnology: Electromedical & Electrotherapeutic Apparatus"	"Health Care"
2117	RNET	12/15/2010	7.53	"RigNet, Inc."	NASDAQ	"Telecommunications Equipment"	"Consumer Services"
2118	RNN	5/27/2008	13.7	"Rexahn Pharmaceuticals, Inc."	AMEX	"Major Pharmaceuticals"	"Health Care"
2119	RNR	1/2/1998	51.29	"RenaissanceRe Holdings Ltd."	NYSE	"Property-Casualty Insurers"	"Finance"
2120	RNST	5/2/2005	16.26	"Renasant Corporation"	NASDAQ	"Major Banks"	"Finance"
2121	RNWK	1/2/1998	56.17	"RealNetworks, Inc."	NASDAQ	"EDP Services"	"Technology"
2122	ROCK	1/2/1998	30.62	"Gibraltar Industries, Inc."	NASDAQ	"Steel/Iron Ore"	"Capital Goods"
2123	ROG	4/18/2000	27.92	"Rogers Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
2124	ROIC	11/3/2009	19.81	"Retail Opportunity Investments Corp."	NASDAQ	"Real Estate Investment Trusts"	"Consumer Services"
2125	ROK	1/2/1998	71.38	"Rockwell Automation, Inc."	NYSE	"Industrial Machinery/Components"	"Capital Goods"
2126	ROL	1/2/1998	40.1	"Rollins, Inc."	NYSE	"Diversified Commercial Services"	"Finance"
2127	ROLL	8/10/2005	21.03	"RBC Bearings Incorporated"	NASDAQ	"Metal Fabrications"	"Capital Goods"
2128	ROP	1/2/1998	53.71	"Roper Technologies, Inc."	NYSE	"Industrial Machinery/Components"	"Capital Goods"
2129	ROST	1/2/1998	75.23	"Ross Stores, Inc."	NASDAQ	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
2130	ROVI	1/2/1998	62.87	"Rovi Corporation"	NASDAQ	"Multi-Sector Companies"	"Miscellaneous"
2131	RP	8/12/2010	15.74	"RealPage, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2132	RPAI	4/9/2012	16.93	"Retail Properties of America, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2133	RPM	6/9/1998	61.66	"RPM International Inc."	NYSE	"Paints/Coatings"	"Basic Industries"
2134	RPRX	5/4/2006	20.64	"Repros Therapeutics Inc."	NASDAQ	"Biotechnology: Biological Products (No Diagnostic Substances)"	"Health Care"
2135	RPT	1/2/1998	33.38	"Ramco-Gershenson Properties Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2136	RPTP	6/21/2006	17.34	"Raptor Pharmaceutical Corp."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2137	RPXC	5/4/2011	14.66	"RPX Corporation"	NASDAQ	"Multi-Sector Companies"	"Miscellaneous"
2138	RRC	8/26/1998	58.52	"Range Resources Corporation"	NYSE	"Oil & Gas Production"	"Energy"
2139	RRD	3/1/2004	55.23	"R.R. Donnelley & Sons Company"	NASDAQ	"Publishing"	"Miscellaneous"
2140	RRGB	7/19/2002	36.96	"Red Robin Gourmet Burgers, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
2141	RRR	5/23/2007	17.34	"Red Rock Resorts, Inc."	NASDAQ	"Hotels/Resorts"	"Consumer Services"
2142	RRTS	5/13/2010	12.68	"Roadrunner Transportation Systems, Inc"	NYSE	"Oil Refining/Marketing"	"Transportation"
2143	RS	1/2/1998	52.88	"Reliance Steel & Aluminum Co."	NYSE	"Metal Fabrications"	"Basic Industries"
2144	RSE	12/28/2011	11.35	"Rouse Properties, Inc. Common S"	NYSE	"Property Management"	"Financial"
2145	RSG	7/1/1998	64.4	"Republic Services, Inc."	NYSE	"Environmental Services"	"Public Utilities"
2146	RSO	2/7/2006	33.78	"Resource Capital Corp."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2147	RST	4/16/2009	13.8	"Rosetta Stone"	NYSE	"Computer Software: Prepackaged Software"	"Technology"
2148	RSTI	1/2/1998	33.26	"Rofin-Sinar Technologies, Inc."	NASDAQ	"Industrial Machinery/Components"	"Miscellaneous"
2149	RSYS	1/2/1998	30.03	"RadiSys Corporation"	NASDAQ	"Computer peripheral equipment"	"Technology"
2150	RT	1/2/1998	43.42	"Ruby Tuesday, Inc."	NYSE	"Restaurants"	"Consumer Services"
2151	RTEC	11/12/1999	38.6	"Rudolph Technologies, Inc."	NYSE	"Industrial Machinery/Components"	"Capital Goods"
2152	RTIX	8/10/2000	28.09	"RTI Surgical, Inc."	NASDAQ	"Industrial Specialties"	"Health Care"
2153	RTK	4/5/2000	38.92	"Rentech, Inc."	NASDAQ	"Agricultural Chemicals"	"Basic Industries"
2154	RTN	5/15/2001	66.37	"Raytheon Company"	NYSE	"Industrial Machinery/Components"	"Capital Goods"
2155	RUSHA	10/7/2003	25.25	"Rush Enterprises, Inc."	NASDAQ	"Automotive Aftermarket"	"Consumer Durables"
2156	RUTH	8/9/2005	29.18	"Ruth's Hospitality Group, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
2157	RVLT	4/16/2007	8.07	"Revolution Lighting Technologies, Inc."	NASDAQ	"Building Products"	"Consumer Durables"
2158	RWT	1/28/1998	48.91	"Redwood Trust, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2159	RXN	3/29/2012	12.97	"Rexnord Corporation"	NYSE	"Industrial Machinery/Components"	"Technology"
2160	RYAAY	1/2/1998	47.52	"Ryanair Holdings plc"	NASDAQ	"Air Freight/Delivery Services"	"Transportation"
2161	RYN	1/2/1998	59.75	"Rayonier Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2162	S	1/2/1998	82.93	"Sprint Corporation"	NYSE	"Telecommunications Equipment"	"Public Utilities"
2163	SAAS	1/2/2009	13.66	"inContact, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
2164	SAFM	1/2/1998	43.16	"Sanderson Farms, Inc."	NASDAQ	"Meat/Poultry/Fish"	"Consumer Non-Durables"
2165	SAFT	11/22/2002	18.42	"Safety Insurance Group, Inc."	NASDAQ	"Property-Casualty Insurers"	"Finance"
2166	SAH	1/2/1998	51.37	"Sonic Automotive, Inc."	NYSE	"Automotive Aftermarket"	"Consumer Durables"
2167	SAIA	7/24/2006	23.52	"Saia, Inc."	NASDAQ	"Trucking Freight/Courier Services"	"Transportation"
2168	SALM	7/1/1999	12.78	"Salem Media Group, Inc."	NASDAQ	"Broadcasting"	"Consumer Services"
2169	SAM	1/2/1998	27.42	"Boston Beer Company, Inc. (The)"	NYSE	"Beverages (Production/Distribution)"	"Consumer Non-Durables"
2170	SANM	1/2/1998	73.39	"Sanmina Corporation"	NASDAQ	"Electrical Products"	"Technology"
2171	SASR	1/5/1998	15.43	"Sandy Spring Bancorp, Inc."	NASDAQ	"Major Banks"	"Finance"
2172	SATS	1/2/2008	22.53	"EchoStar Corporation"	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
2173	SAVE	5/26/2011	19.37	"Spirit Airlines, Inc."	NASDAQ	"Air Freight/Delivery Services"	"Transportation"
2174	SBAC	6/16/1999	59.39	"SBA Communications Corporation"	NASDAQ	"Telecommunications Equipment"	"Consumer Services"
2175	SBCF	6/3/2002	17.62	"Seacoast Banking Corporation of Florida"	NASDAQ	"Major Banks"	"Finance"
2176	SBGI	1/2/1998	55.52	"Sinclair Broadcast Group, Inc."	NASDAQ	"Broadcasting"	"Consumer Services"
2177	SBH	11/17/2006	37.61	"Sally Beauty Holdings, Inc."	NYSE	"Other Specialty Stores"	"Consumer Services"
2178	SBNY	3/23/2004	36.34	"Signature Bank"	NASDAQ	"Major Banks"	"Finance"
2179	SBRA	11/8/2010	16.78	"Sabra Healthcare REIT, Inc."	NASDAQ	"Real Estate Investment Trusts"	"Consumer Services"
2180	SBSI	5/14/1998	14.11	"Southside Bancshares, Inc."	NASDAQ	"Major Banks"	"Finance"
2181	SBUX	1/2/1998	89.92	"Starbucks Corporation"	NASDAQ	"Restaurants"	"Consumer Services"
2182	SBY	12/17/2012	10.97	"Silver Bay Realty Trust Corp."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
2183	SCCO	1/2/1998	57.24	"Southern Copper Corporation"	NYSE	"Precious Metals"	"Basic Industries"
2184	SCG	1/2/1998	59.42	"Scana Corporation"	NYSE	"Power Generation"	"Public Utilities"
2185	SCHL	1/2/1998	45.24	"Scholastic Corporation"	NASDAQ	"Books"	"Consumer Services"
2186	SCHN	1/2/1998	47.92	"Schnitzer Steel Industries, Inc."	NASDAQ	"Industrial Specialties"	"Consumer Durables"
2187	SCHW	1/2/1998	84.69	"The Charles Schwab Corporation"	NYSE	"Investment Bankers/Brokers/Service"	"Finance"
2188	SCI	8/27/2004	47.3	"Service Corporation International"	NYSE	"Other Consumer Services"	"Consumer Services"
2189	SCL	1/2/1998	15.46	"Stepan Company"	NYSE	"Package Goods/Cosmetics"	"Basic Industries"
2190	SCLN	1/2/1998	33.97	"SciClone Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2191	SCM	11/8/2012	3.12	"Stellus Capital Investment Corporation"	NYSE	""	""
2192	SCMP	8/2/2007	12.9	"Sucampo Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
2193	SCMR	9/22/2005	24.23	"Sycamore Networks, Inc."	NASDAQ	"Networking & Communication Devices"	"Technology"
2194	SCOR	6/27/2007	23.85	"comScore, Inc."	NASDAQ	"Business Services"	"Miscellaneous"
2195	SCS	2/18/1998	50.98	"Steelcase Inc."	NYSE	"Office Equipment/Supplies/Services"	"Consumer Durables"
2196	SCSC	1/2/1998	33.64	"ScanSource, Inc."	NASDAQ	"Retail: Computer Software & Peripheral Equipment"	"Technology"
2197	SCSS	1/10/2000	50.23	"Select Comfort Corporation"	NASDAQ	"Home Furnishings"	"Consumer Durables"
2198	SCTY	12/13/2012	17.15	"SolarCity Corporation"	NASDAQ	"Engineering & Construction"	"Basic Industries"
2199	SCVL	1/2/1998	23.71	"Shoe Carnival, Inc."	NASDAQ	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
2200	SDRL	4/15/2010	30.7	"Seadrill Limited"	NYSE	"Oil & Gas Production"	"Energy"
2201	SE	1/3/2007	43.73	"Spectra Energy Corp"	NYSE	"Oil & Gas Production"	"Public Utilities"
2202	SEAC	1/2/1998	37.69	"SeaChange International, Inc."	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
